municipality_id,source_url,dimension,evidence_status_coder1,evidence_status_coder2
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D1_programme_ownership,partial_or_indirect_signal,partial_or_indirect_signal
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D2_human_oversight_and_review,partial_or_indirect_signal,partial_or_indirect_signal
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D3_prompt_log_and_data_governance,partial_or_indirect_signal,partial_or_indirect_signal
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D4_procurement_and_vendor_stewardship,not_observable_publicly,not_observable_publicly
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,partial_or_indirect_signal
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D1_programme_ownership,observable_policy_commitment,observable_policy_commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D3_prompt_log_and_data_governance,partial_or_indirect_signal,observable_policy_commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D4_procurement_and_vendor_stewardship,observable_policy_commitment,observable_policy_commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,partial_or_indirect_signal
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D1_programme_ownership,observable_policy_commitment,observable_policy_commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D2_human_oversight_and_review,partial_or_indirect_signal,not_observable_publicly
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D3_prompt_log_and_data_governance,observable_policy_commitment,observable_policy_commitment
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D4_procurement_and_vendor_stewardship,partial_or_indirect_signal,partial_or_indirect_signal
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,not_observable_publicly
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D1_programme_ownership,partial_or_indirect_signal,partial_or_indirect_signal
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D3_prompt_log_and_data_governance,partial_or_indirect_signal,partial_or_indirect_signal
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D4_procurement_and_vendor_stewardship,not_observable_publicly,not_observable_publicly
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,observable_policy_commitment
mun-helsinki,https://ai.hel.fi/en/ai-register/,D1_programme_ownership,partial_or_indirect_signal,partial_or_indirect_signal
mun-helsinki,https://ai.hel.fi/en/ai-register/,D2_human_oversight_and_review,partial_or_indirect_signal,not_observable_publicly
mun-helsinki,https://ai.hel.fi/en/ai-register/,D3_prompt_log_and_data_governance,not_observable_publicly,not_observable_publicly
mun-helsinki,https://ai.hel.fi/en/ai-register/,D4_procurement_and_vendor_stewardship,not_observable_publicly,not_observable_publicly
mun-helsinki,https://ai.hel.fi/en/ai-register/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,not_observable_publicly
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D1_programme_ownership,observable_policy_commitment,observable_policy_commitment
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D3_prompt_log_and_data_governance,observable_policy_commitment,observable_policy_commitment
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D4_procurement_and_vendor_stewardship,not_observable_publicly,not_observable_publicly
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,not_observable_publicly
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D1_programme_ownership,observable_named_artifact,observable_named_artifact
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D3_prompt_log_and_data_governance,observable_policy_commitment,observable_policy_commitment
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D4_procurement_and_vendor_stewardship,not_observable_publicly,not_observable_publicly
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,observable_policy_commitment
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D1_programme_ownership,partial_or_indirect_signal,not_observable_publicly
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D3_prompt_log_and_data_governance,observable_policy_commitment,observable_policy_commitment
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D4_procurement_and_vendor_stewardship,partial_or_indirect_signal,observable_policy_commitment
mun-vienna,https://digitales.wien.gv.at/ki-rahmenbedingungen/,D5_incident_audit_and_lifecycle_accountability,observable_policy_commitment,observable_policy_commitment
